family,offered_load,cascade_threshold,cascade_dwell_ticks,algorithm,cascade_depth,pdr,pdr_critical,total_links
scale_free,0.7,0.8,40,spf-static,44.5,0.24660363106059568,0.3447766007505591,232.0
scale_free,0.7,0.85,1,cspf,122.5,0.046336599876198405,0.04360275565681149,232.0
scale_free,0.7,0.85,1,ecmp,116.0,0.055302648757531575,0.04617299175316651,232.0
scale_free,0.7,0.85,1,orbit,121.5,0.04890648806897156,0.04354817954887942,232.0
scale_free,0.7,0.85,1,spf-reconverge,122.0,0.04610709473281065,0.045386438270411084,232.0
scale_free,0.7,0.85,1,spf-static,44.5,0.1498844904973735,0.15612957640175593,232.0
scale_free,0.7,0.85,3,cspf,122.5,0.06031026275944511,0.06432352474506858,232.0
scale_free,0.7,0.85,3,ecmp,112.5,0.07499587290460355,0.07680026398068823,232.0
scale_free,0.7,0.85,3,orbit,121.5,0.06353031645288386,0.06519475855252896,232.0
scale_free,0.7,0.85,3,spf-reconverge,122.0,0.06049251803026798,0.0760446256720059,232.0
scale_free,0.7,0.85,3,spf-static,44.5,0.15582367332450414,0.16668773406932214,232.0
scale_free,0.7,0.85,5,cspf,122.5,0.07280003268784896,0.0854504335650538,232.0
scale_free,0.7,0.85,5,ecmp,111.0,0.0919425737057451,0.10753192567674108,232.0
scale_free,0.7,0.85,5,orbit,121.5,0.07815414483679614,0.08724185701576807,232.0
scale_free,0.7,0.85,5,spf-reconverge,122.0,0.075898203261893,0.10670281307360155,232.0
scale_free,0.7,0.85,5,spf-static,44.5,0.16176285615163472,0.17655856844571455,232.0
scale_free,0.7,0.85,10,cspf,121.0,0.10801403922617914,0.1368260203012609,232.0
scale_free,0.7,0.85,10,ecmp,111.0,0.13638008235110283,0.1843542518133252,232.0
scale_free,0.7,0.85,10,orbit,119.5,0.11272850786892691,0.14394885483011327,232.0
scale_free,0.7,0.85,10,spf-reconverge,123.0,0.12052310761621375,0.18571848844467764,232.0
scale_free,0.7,0.85,10,spf-static,44.5,0.17510100090933517,0.20086756311850956,232.0
scale_free,0.7,0.85,20,cspf,121.0,0.1706901496582005,0.23675894903198946,232.0
