scenario,algorithm,n,pdr_critical_median,pdr_critical_iqr,pdr_critical_n,pdr_median,pdr_iqr,pdr_n,throughput_mbps_median,throughput_mbps_iqr,throughput_mbps_n,time_to_restore_critical_s_median,time_to_restore_critical_s_iqr,time_to_restore_critical_s_n,control_seconds_median,control_seconds_iqr,control_seconds_n,p95_latency_ms_median,p95_latency_ms_iqr,p95_latency_ms_n
grid-n60-load0.7-cascading-centralised,cspf,30,0.9934224159215563,0.0028209598113967393,30,0.7521585768749688,0.06828065859153909,30,1898.3795958664082,208.79260042174542,30,0.2,0.2,29,0.15019349999784026,0.03898922498774482,30,109.70264546116911,4.927038325964432,30
grid-n60-load0.7-cascading-centralised,ecmp,30,0.996487866372038,0.0012114712860253896,30,0.7116210192001473,0.050991381459604246,30,1785.5497218991009,129.53895932685123,30,0.0,0.2,30,0.20272145000490127,0.06259807501191972,30,136.089833996813,35.07209834240254,30
grid-n60-load0.7-cascading-centralised,orbit,30,0.9949831202758154,0.002101524836090163,30,0.7528925859406203,0.05753901500978231,30,1884.7673606479243,180.98910145644072,30,0.1,0.2,30,0.1013313500006916,0.05427045002215891,30,108.98233985721852,3.6630518788084885,30
grid-n60-load0.7-cascading-centralised,spf-reconverge,30,0.9931815412292663,0.01868664302445988,30,0.6525913200976525,0.04531992696390419,30,1640.5446125358967,118.01866006179807,30,0.0,0.2,29,0.02939110000443179,0.014843974990071729,30,111.58110239778807,47.47386953277527,30
grid-n60-load0.7-cascading-centralised,spf-static,30,0.579795936242053,0.1068060070384903,30,0.5457142172064173,0.04193198534656528,30,1381.7966487462922,117.31161083718052,30,0.0,0.0,28,0.00869004999549361,0.0006177750110509805,30,58.7689715940577,50.791365149658944,30
grid-n60-load0.7-congestion_surge-centralised,cspf,30,0.9186848148927664,0.07138255628476686,30,0.5095571580081193,0.027477768329431274,30,2968.235019842541,143.8886231704455,30,0.0,0.0,30,0.03650864999508485,0.026070449999679113,30,212.00886518037055,48.283375379203505,30
grid-n60-load0.7-congestion_surge-centralised,ecmp,30,0.9649064589127581,0.03573982070912651,30,0.5008316371387908,0.023073217123187884,30,2940.4000279355273,130.2183553240693,30,0.0,0.0,30,0.05139280000003055,0.02404124999520718,30,206.1350176821673,21.787849635454194,30
grid-n60-load0.7-congestion_surge-centralised,orbit,30,1.0,0.0004137574556852819,30,0.5129018596183186,0.030922950324526632,30,2977.860483244942,160.47569366102107,30,0.0,0.0,30,0.03905205000046408,0.028710625003441237,30,207.72911557110444,4.301920146092328,30
grid-n60-load0.7-congestion_surge-centralised,spf-reconverge,30,0.8958332821103623,0.08167955128029791,30,0.4666970708581214,0.032272599129782864,30,2693.054363976123,204.84417158327688,30,0.0,0.0,30,0.008594849998189602,0.0013592500035883859,30,208.22116468672488,5.598578079556404,30
grid-n60-load0.7-congestion_surge-centralised,spf-static,30,0.8958332821103623,0.08167955128029791,30,0.4666970708581214,0.032272599129782864,30,2693.054363976123,204.84417158327688,30,0.0,0.0,30,0.008751999994274229,0.0031706000008853152,30,208.22116468672488,5.598578079556404,30
grid-n60-load0.7-critical_link-centralised,cspf,30,1.0,0.0005197049457716929,30,0.9873302327479755,0.03144556167552359,30,2473.6522954236116,78.63099740962343,30,0.0,0.0,30,0.10713975001272047,0.02968432498528273,30,58.97717281123635,60.76725973304812,30
grid-n60-load0.7-critical_link-centralised,ecmp,30,1.0,0.0,30,0.8803406413477031,0.04955475208709892,30,2189.8332007125005,115.94861774112724,30,0.0,0.0,30,0.141200400001253,0.0424897249940841,30,108.57674753014993,32.868287479298004,30
