scenario,algorithm,runs,censored,partitioned_fraction
scale_free-n60-load0.7-critical_link-centralised,cspf,30,13,0.43333333333333335
scale_free-n60-load0.7-critical_link-centralised,ecmp,30,3,0.1
scale_free-n60-load0.7-critical_link-centralised,orbit,30,12,0.4
scale_free-n60-load0.7-critical_link-centralised,spf-reconverge,30,13,0.43333333333333335
scale_free-n60-load0.7-critical_link-centralised,spf-static,30,23,0.7666666666666667
scale_free-n60-load0.7-none-centralised,cspf,30,0,0.0
scale_free-n60-load0.7-none-centralised,ecmp,30,0,0.0
scale_free-n60-load0.7-none-centralised,orbit,30,0,0.0
scale_free-n60-load0.7-none-centralised,spf-reconverge,30,0,0.0
scale_free-n60-load0.7-none-centralised,spf-static,30,0,0.0
scale_free-n60-load0.7-random_node_10-centralised,cspf,30,30,1.0
scale_free-n60-load0.7-random_node_10-centralised,ecmp,30,30,1.0
scale_free-n60-load0.7-random_node_10-centralised,orbit,30,30,1.0
scale_free-n60-load0.7-random_node_10-centralised,spf-reconverge,30,30,1.0
scale_free-n60-load0.7-random_node_10-centralised,spf-static,30,30,1.0
scale_free-n60-load0.7-random_node_30-centralised,cspf,30,30,1.0
scale_free-n60-load0.7-random_node_30-centralised,ecmp,30,30,1.0
scale_free-n60-load0.7-random_node_30-centralised,orbit,30,30,1.0
scale_free-n60-load0.7-random_node_30-centralised,spf-reconverge,30,30,1.0
scale_free-n60-load0.7-random_node_30-centralised,spf-static,30,30,1.0
scale_free-n60-load0.7-regional_srlg-centralised,cspf,30,30,1.0
scale_free-n60-load0.7-regional_srlg-centralised,ecmp,30,30,1.0
scale_free-n60-load0.7-regional_srlg-centralised,orbit,30,30,1.0
scale_free-n60-load0.7-regional_srlg-centralised,spf-reconverge,30,30,1.0
scale_free-n60-load0.7-regional_srlg-centralised,spf-static,30,30,1.0
waxman-n60-load0.7-cascading-centralised,cspf,30,30,1.0
waxman-n60-load0.7-cascading-centralised,ecmp,30,30,1.0
waxman-n60-load0.7-cascading-centralised,orbit,30,29,0.9666666666666667
waxman-n60-load0.7-cascading-centralised,spf-reconverge,30,30,1.0
waxman-n60-load0.7-cascading-centralised,spf-static,30,4,0.13333333333333333
waxman-n60-load0.7-congestion_surge-centralised,cspf,30,29,0.9666666666666667
waxman-n60-load0.7-congestion_surge-centralised,ecmp,30,19,0.6333333333333333
waxman-n60-load0.7-congestion_surge-centralised,orbit,30,30,1.0
waxman-n60-load0.7-congestion_surge-centralised,spf-reconverge,30,19,0.6333333333333333
waxman-n60-load0.7-congestion_surge-centralised,spf-static,30,19,0.6333333333333333
waxman-n60-load0.7-critical_link-centralised,cspf,30,18,0.6
waxman-n60-load0.7-critical_link-centralised,ecmp,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,orbit,30,9,0.3
waxman-n60-load0.7-critical_link-centralised,spf-reconverge,30,13,0.43333333333333335
waxman-n60-load0.7-critical_link-centralised,spf-static,30,22,0.7333333333333333
waxman-n60-load0.7-none-centralised,cspf,30,0,0.0
waxman-n60-load0.7-none-centralised,ecmp,30,0,0.0
waxman-n60-load0.7-none-centralised,orbit,30,0,0.0
waxman-n60-load0.7-none-centralised,spf-reconverge,30,0,0.0
waxman-n60-load0.7-none-centralised,spf-static,30,0,0.0
waxman-n60-load0.7-random_node_10-centralised,cspf,30,30,1.0
waxman-n60-load0.7-random_node_10-centralised,ecmp,30,30,1.0
waxman-n60-load0.7-random_node_10-centralised,orbit,30,30,1.0
waxman-n60-load0.7-random_node_10-centralised,spf-reconverge,30,30,1.0
waxman-n60-load0.7-random_node_10-centralised,spf-static,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,cspf,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,ecmp,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,orbit,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,spf-reconverge,30,30,1.0
waxman-n60-load0.7-random_node_30-centralised,spf-static,30,30,1.0
waxman-n60-load0.7-regional_srlg-centralised,cspf,30,30,1.0
waxman-n60-load0.7-regional_srlg-centralised,ecmp,30,30,1.0
waxman-n60-load0.7-regional_srlg-centralised,orbit,30,30,1.0
waxman-n60-load0.7-regional_srlg-centralised,spf-reconverge,30,30,1.0
waxman-n60-load0.7-regional_srlg-centralised,spf-static,30,30,1.0
