metric,scenario,baseline,challenger,n_pairs,n_censored,baseline_median,challenger_median,median_difference,ci_low,ci_high,p_value,p_holm,cliffs_delta,effect
throughput_mbps,waxman-n60-load0.3-critical_link-centralised,cspf,orbit,30,0,2616.23803181739,2616.3337238027107,0.005350126999019267,-0.03585049415414687,0.11999639961209141,0.5998973497032583,0.5998973497032583,0.0033333333333333335,negligible
throughput_mbps,waxman-n60-load0.3-critical_link-centralised,ecmp,orbit,30,0,2286.008856660819,2616.3337238027107,282.18023817999654,236.93305995910077,326.82764149138416,1.862645149230957e-09,3.725290298461914e-08,0.6066666666666667,large
throughput_mbps,waxman-n60-load0.3-critical_link-centralised,spf-reconverge,orbit,30,0,2286.008856660819,2616.3337238027107,282.18023817999654,236.93305995910077,326.82764149138416,1.862645149230957e-09,3.725290298461914e-08,0.6066666666666667,large
throughput_mbps,waxman-n60-load0.3-critical_link-centralised,spf-static,orbit,30,0,2249.252955424742,2616.3337238027107,350.10613186590024,322.2103070358994,406.8493970751417,1.862645149230957e-09,3.725290298461914e-08,0.6777777777777778,large
throughput_mbps,waxman-n60-load0.5-critical_link-centralised,cspf,orbit,30,0,4350.833890258956,4242.696287480991,-46.145149942661874,-93.86132127634846,-18.981392235678868,8.326023817062378e-07,3.330409526824951e-06,-0.07777777777777778,negligible
throughput_mbps,waxman-n60-load0.5-critical_link-centralised,ecmp,orbit,30,0,3148.077987933426,4242.696287480991,1123.8055589688472,970.5955068802111,1256.2937330841282,1.862645149230957e-09,3.725290298461914e-08,0.7866666666666666,large
throughput_mbps,waxman-n60-load0.5-critical_link-centralised,spf-reconverge,orbit,30,0,3148.077987933426,4242.696287480991,1123.8055589688472,970.5955068802111,1256.2937330841282,1.862645149230957e-09,3.725290298461914e-08,0.7866666666666666,large
throughput_mbps,waxman-n60-load0.5-critical_link-centralised,spf-static,orbit,30,0,3133.404128891949,4242.696287480991,1144.038978631151,1066.6454047721077,1306.216066427395,1.862645149230957e-09,3.725290298461914e-08,0.8044444444444444,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,cspf,orbit,30,0,4968.580447120159,4783.044252215613,-150.41673370786202,-223.04598036042216,-56.89354446142397,8.856505155563354e-05,0.00023731961846351624,-0.13777777777777778,negligible
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,ecmp,orbit,30,0,3658.6027273955397,4783.044252215613,1178.721408551781,1073.162681256537,1264.7701617568791,1.862645149230957e-09,3.725290298461914e-08,0.8688888888888889,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,spf-reconverge,orbit,30,0,3658.6027273955397,4783.044252215613,1178.721408551781,1073.162681256537,1264.7701617568791,1.862645149230957e-09,3.725290298461914e-08,0.8688888888888889,large
throughput_mbps,waxman-n60-load0.7-critical_link-centralised,spf-static,orbit,30,0,3594.8991286722035,4783.044252215613,1253.1618361237295,1146.9818389288296,1313.3982622807678,1.862645149230957e-09,3.725290298461914e-08,0.8777777777777778,large
throughput_mbps,waxman-n60-load0.9-critical_link-centralised,cspf,orbit,30,0,5321.318431034741,5033.535583282064,-236.7167691139257,-270.5588414808435,-166.32209619570153,4.6566128730773926e-08,2.3283064365386963e-07,-0.18666666666666668,small
throughput_mbps,waxman-n60-load0.9-critical_link-centralised,ecmp,orbit,30,0,3835.6918610702273,5033.535583282064,1190.418199315994,998.2350824105674,1225.6408775653035,1.862645149230957e-09,3.725290298461914e-08,0.8244444444444444,large
throughput_mbps,waxman-n60-load0.9-critical_link-centralised,spf-reconverge,orbit,30,0,3835.6918610702273,5033.535583282064,1190.418199315994,998.2350824105674,1225.6408775653035,1.862645149230957e-09,3.725290298461914e-08,0.8244444444444444,large
throughput_mbps,waxman-n60-load0.9-critical_link-centralised,spf-static,orbit,30,0,3854.2366498109586,5033.535583282064,1131.6518987047145,1005.9917828063135,1333.0017395375594,1.862645149230957e-09,3.725290298461914e-08,0.8377777777777777,large
throughput_mbps,waxman-n60-load1.2-critical_link-centralised,cspf,orbit,30,0,5059.467162583895,4951.426374719375,-174.67909011937218,-264.8753964265384,-67.21986088668655,7.910653948783875e-05,0.00023731961846351624,-0.12222222222222222,negligible
throughput_mbps,waxman-n60-load1.2-critical_link-centralised,ecmp,orbit,30,0,4054.478742834255,4951.426374719375,864.1210063713952,797.0439413691208,940.6175486665766,1.862645149230957e-09,3.725290298461914e-08,0.6666666666666666,large
throughput_mbps,waxman-n60-load1.2-critical_link-centralised,spf-reconverge,orbit,30,0,4054.478742834255,4951.426374719375,864.1210063713952,797.0439413691208,940.6175486665766,1.862645149230957e-09,3.725290298461914e-08,0.6666666666666666,large
throughput_mbps,waxman-n60-load1.2-critical_link-centralised,spf-static,orbit,30,0,3986.5411610153124,4951.426374719375,935.7799259203377,855.0897262135077,1003.4492269102393,1.862645149230957e-09,3.725290298461914e-08,0.6933333333333334,large
