experiment,scenario,family,nodes,offered_load,failure,algorithm,trial,seed,flows,live_links,bound,achieved,optimality_gap
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,6,4439822508014715229,24,23,110965.66468799917,110896.37035307377,0.0006244664520348442
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,6,4439822508014715229,24,23,110965.66468799917,110783.57114213759,0.0016409899978843123
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,6,4439822508014715229,24,23,110965.66468799917,110783.57114213759,0.0016409899978843123
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,7,9592351429518092447,24,23,90113.79808738828,90113.79808738829,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,7,9592351429518092447,24,23,90113.79808738828,90111.02362864168,3.078838985248744e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,7,9592351429518092447,24,23,90113.79808738828,90113.79808738829,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,7,9592351429518092447,24,23,90113.79808738828,90099.47243413175,0.00015897291603039765
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,7,9592351429518092447,24,23,90113.79808738828,90099.47243413175,0.00015897291603039765
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,8,12033180438635104550,24,23,93158.15103552357,93118.19668378543,0.0004288873415156935
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,8,12033180438635104550,24,23,93158.15103552357,92654.04109562855,0.005411334749471197
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,8,12033180438635104550,24,23,93158.15103552357,93148.29861470731,0.0001057601584696366
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,8,12033180438635104550,24,23,93158.15103552357,92540.20429185366,0.006633308377216096
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,8,12033180438635104550,24,23,93158.15103552357,92540.20429185366,0.006633308377216096
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,9,953829825701024240,24,23,99505.07680652547,99495.3730635187,9.752007955976527e-05
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,9,953829825701024240,24,23,99505.07680652547,99361.14656115377,0.0014464613263054371
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,9,953829825701024240,24,23,99505.07680652547,99486.74124729367,0.00018426757528611226
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,9,953829825701024240,24,23,99505.07680652547,98884.99554263671,0.00623165454255592
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,9,953829825701024240,24,23,99505.07680652547,98884.99554263671,0.00623165454255592
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,10,13595621335658842418,24,23,122954.89848126158,122954.8984812616,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,10,13595621335658842418,24,23,122954.89848126158,122762.69468670033,0.001563205670822021
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,10,13595621335658842418,24,23,122954.89848126158,122954.8984812616,0.0
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,10,13595621335658842418,24,23,122954.89848126158,122663.38498434942,0.0023708977886438554
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-static,10,13595621335658842418,24,23,122954.89848126158,122663.38498434942,0.0023708977886438554
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,cspf,11,9252146967079671133,24,23,104468.69743492779,104441.66783015078,0.0002587340078001876
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,ecmp,11,9252146967079671133,24,23,104468.69743492779,104440.60480389383,0.000268909555912189
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,orbit,11,9252146967079671133,24,23,104468.69743492779,104451.47304871895,0.00016487605025961027
a10-optimality,grid-n12-load0.5-critical_link-centralised,grid,9,0.5,critical_link,spf-reconverge,11,9252146967079671133,24,23,104468.69743492779,103863.82234774577,0.005790012721837434
