experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,cspf,0,266686485615056643,0.055032545463826486,0.0702643043161289,0.09185741299881416,0.028242289652265072,0.050664683210664876,394.8499235323487,27.63497944044951,106.08080472475073,,,True,179,0,106,0.98,3,False,232,0.1,0.08712168825839033,,0.3617382000084035,5,20332,1.2902646999864373
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit,0,266686485615056643,0.04544240942204452,0.04369947187232075,0.12111819790195119,0.026912851671068952,0.006101723285096143,326.0421943813966,35.19095263900406,154.09087622696808,,,True,306,4,117,0.98,3,False,232,0.0,0.0,,0.3853395999467466,5,20803,1.3297850000089966
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.6,0,266686485615056643,0.28730280685044624,0.6819684962759704,0.639629310721934,0.10165045040297307,0.030754402630968902,2061.352793322893,3.9082912127435607,9.162546462933207,,0.2,True,57,0,0,0.98,3,False,232,0.30000000000000004,0.9300226871264256,,0.0811190000094939,2,14384,1.5919591000129003
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.7,0,266686485615056643,0.34254346295902444,0.8730360282716769,0.626798458321025,0.14502856701174047,0.09102381725445696,2457.695878246813,3.873182835021788,8.194465696495657,,0.0,True,60,0,0,0.98,3,False,232,0.30000000000000004,0.9324156357005827,,0.10547430001315661,2,13804,1.6440478000149596
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.8,0,266686485615056643,0.40715358500019316,0.8842529274467278,0.6995867956149011,0.2701247541196588,0.09777307467114404,2921.2634187331983,4.076705010495818,8.194465696495657,,0.0,True,72,0,0,0.98,3,False,232,0.30000000000000004,0.8664456855154501,,0.0952652000123635,2,11982,2.006321199995
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.9,0,266686485615056643,0.4530614838778133,0.8842529274467278,0.8204913098329063,0.33513860656457467,0.0786706738378331,3250.6454272989117,4.108114593040567,8.374770325774339,,0.0,True,81,0,0,0.98,3,False,232,0.30000000000000004,0.8664456855154501,,0.10407950001535937,2,10676,2.3991496000089683
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-0.95,0,266686485615056643,0.4706139572430699,0.8842529274467278,0.8521234342612763,0.33688900895868307,0.11333895097862222,3376.581683884221,4.267368211858923,8.452020540890016,,0.2,True,86,0,0,0.98,3,False,232,0.30000000000000004,0.8664456855154501,,0.11346690001664683,2,10164,2.545888799999375
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-ceiling-1.0,0,266686485615056643,0.4443831773757072,0.8259116270528413,0.7713792159167616,0.33442577259275047,0.11872237028289759,3188.3799327653314,4.511729772686831,8.769504319901744,,0.0,True,102,0,13,0.98,3,False,232,0.30000000000000004,0.913486748599744,,0.17891969997435808,4,11045,2.3743925000017043
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,orbit-no-fallback,0,266686485615056643,0.42323722082973936,0.965751139061112,0.7464317597278827,0.2740675926732428,0.07080369313438274,3036.6609952743884,4.553400906765915,9.189802580735787,0.0,0.0,True,125,16,21,0.98,3,False,232,0.6000000000000001,1.0630819891479577,,0.2274477000173647,7,11730,2.345350999996299
a9-ceiling,scale_free-n60-load0.9-cascading-centralised,scale_free,60,0.9,cascading,CENTRALISED,spf-static,0,266686485615056643,0.15068038994099578,0.16964395724102255,0.15012902536220654,0.1389337657919728,0.15675508140512576,1081.108277739654,5.680928643101794,4.071743674995437,0.0,0.0,False,0,0,37,0.98,3,False,232,0.0,0.5833809293727008,,0.03080680000130087,2,18522,0.8727730000100564
