experiment,scenario,family,nodes,offered_load,failure,control_mode,algorithm,trial,seed,pdr,pdr_critical,pdr_high,pdr_normal,pdr_low,throughput_mbps,mean_latency_ms,p95_latency_ms,time_to_restore_critical_s,time_to_restore_overall_s,censored,reroutes,preemptions,cascade_depth,cascade_threshold,cascade_dwell_ticks,cascade_saturated,total_links,time_to_converge_s,peak_restore_critical,optimality_gap,control_seconds,control_calls,blackholed_flow_ticks,wall_clock_s
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,cspf,0,14122833948546015960,0.27401745620037027,0.3562936786888012,0.3572587443817236,0.23502734741776224,0.19014185461253996,733.4258716813235,8.777742670973963,55.053340772670865,,,True,254,0,38,0.98,3,False,224,0.30000000000000004,0.5363686579083644,,0.6150548000005074,6,16171,1.9721497000136878
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit,0,14122833948546015960,0.26364478410674297,0.39651856551779996,0.3508732226433763,0.21712051319277606,0.15417787008466002,705.6627277655205,9.73697715611372,55.19590770630834,,,True,279,12,39,0.98,3,False,224,0.30000000000000004,0.6203460884800118,,0.5656721999694128,6,16407,1.9388321000151336
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit-ceiling-0.9,0,14122833948546015960,0.825408653502997,0.9535300807331628,0.9567537917050153,0.9852441296340249,0.4327902816148855,2209.26093389493,6.273012037673571,11.352504561962098,,0.2,True,134,0,0,0.98,3,False,224,0.30000000000000004,0.9472413780759995,,0.17568459999165498,2,3680,6.12202249999973
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit-ceiling-0.95,0,14122833948546015960,0.8736053635572402,0.9535300807331628,0.9693991779428274,0.9792631727147273,0.6083305938434403,2338.262620772343,6.335889289261667,10.896575377856191,,0.2,True,140,0,0,0.98,3,False,224,0.30000000000000004,0.9472413780759995,,0.18018700001994148,2,2650,6.551842499990016
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,cspf,1,17310411874255154903,0.3317139623744838,0.3438816207296017,0.2809457672891377,0.2178141102978271,0.5621533151689115,821.975727857864,6.709311289438772,9.34161785058737,,0.0,True,212,0,27,0.98,3,False,224,0.30000000000000004,0.5691684914785141,,0.5402749999484513,5,14794,2.0929017000016756
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit,1,17310411874255154903,0.3439721237841346,0.37761612487370616,0.28493808621982586,0.314390136307705,0.4321292169488202,852.3510279349883,7.202763539074066,10.221653167566352,,0.2,True,234,4,30,0.98,3,False,224,0.30000000000000004,0.5440739238212112,,0.4464219000074081,5,14488,2.098079699993832
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit-ceiling-0.9,1,17310411874255154903,0.8478154052762651,0.9394882291066919,0.9633955933325317,0.8427636089363836,0.6795142523101607,2100.8572562113945,6.5274414090477,12.426950133960261,,0.2,True,136,0,0,0.98,3,False,224,0.30000000000000004,0.9301787258923403,,0.1743282000243198,2,3596,5.933704000024591
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit-ceiling-0.95,1,17310411874255154903,0.8832718624712576,0.9394882291066919,0.9795642086084876,0.9118937577028418,0.7021333938779624,2188.717131030933,6.578357612227717,12.50699844671694,,0.0,True,141,0,0,0.98,3,False,224,0.30000000000000004,0.9301787258923403,,0.18216880000545643,2,2890,6.311247400008142
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,cspf,2,4858243601209791395,0.5534041459954168,0.49092478369443804,0.5980553272306343,0.6472483154789915,0.41239723650967647,1317.050936156516,5.742483135634239,10.417021569902012,0.2,0.2,False,226,0,19,0.98,3,False,224,1.3,1.0,,0.5289419999753591,4,10102,3.4247003000054974
a9-ceiling-cost,grid-n60-load0.7-cascading-centralised,grid,60,0.7,cascading,CENTRALISED,orbit,2,4858243601209791395,0.35989423413144417,0.42150009516015274,0.36811474511426967,0.4461735444289563,0.18641112781203123,856.5151551721054,7.316404264231391,13.240792336026407,,0.0,True,333,18,39,0.98,3,False,224,0.6000000000000001,0.547414962512104,,0.6464693000307307,8,14491,2.334225900005549
